gamma1,gamma2,norm,log10_break_energy_gev,scan
0.0808421292102785,2.634793931159421,1.77e-18,4.39,gamma1-gamma2
0.0870875687734828,2.7889039855072464,1.77e-18,4.39,gamma1-gamma2
0.188827244363928,2.6328804347826087,1.77e-18,4.39,gamma1-gamma2
0.1753492440907518,2.7912170031055905,1.77e-18,4.39,gamma1-gamma2
0.252610456924315,2.6328804347826087,1.77e-18,4.39,gamma1-gamma2
0.4105786026783526,2.8032217555994734,1.77e-18,4.39,gamma1-gamma2
0.4145898332662368,2.6299365942028987,1.77e-18,4.39,gamma1-gamma2
0.5183645501665195,2.8099123023715418,1.77e-18,4.39,gamma1-gamma2
0.522580214127994,2.6277956192358367,1.77e-18,4.39,gamma1-gamma2
0.6261102304750397,2.818342391304348,1.77e-18,4.39,gamma1-gamma2
0.5814756105743424,2.6269927536231887,1.77e-18,4.39,gamma1-gamma2
0.7339705173717848,2.8218214756258235,1.77e-18,4.39,gamma1-gamma2
0.7385145137211486,2.6255208333333333,1.77e-18,4.39,gamma1-gamma2
0.8417998295149562,2.826638669301713,1.77e-18,4.39,gamma1-gamma2
0.8464832122554036,2.624316534914361,1.77e-18,4.39,gamma1-gamma2
0.9006301789787976,2.8286458333333337,1.77e-18,4.39,gamma1-gamma2
0.9102726197665048,2.6240489130434783,1.77e-18,4.39,gamma1-gamma2
1.0427582229393115,2.8354534646739133,1.77e-18,4.39,gamma1-gamma2
1.0721838516505633,2.6240489130434783,1.77e-18,4.39,gamma1-gamma2
1.18009060067767,2.6255208333333333,1.77e-18,4.39,gamma1-gamma2
1.1849818584309944,2.838131541867955,1.77e-18,4.39,gamma1-gamma2
1.2389333400429416,2.6269927536231887,1.77e-18,4.39,gamma1-gamma2
1.3812034806854774,2.839618330039526,1.77e-18,4.39,gamma1-gamma2
1.4058036299742591,2.6247179677206853,1.77e-18,4.39,gamma1-gamma2
1.489159789318304,2.838949275362319,1.77e-18,4.39,gamma1-gamma2
1.510746980077255,2.6330907091097315,1.77e-18,4.39,gamma1-gamma2
